year,quarter,tone_all,tone_real,tone_guid,tone_all_z,tone_real_z,tone_guid_z,report_date,similarity_prev,surprise_prev,avg_sent_len
2005,2,0.5991874267381432,0.575642551269412,0.8233755888099752,0.1748065479511088,-0.0845649302280022,1.968275708859122,2005-08-04,0.9747416507827482,0.025258349217251785,63.56198347107438
2005,3,0.6028756938161334,0.5859580914626034,0.7955713108673169,0.2479774275179297,0.1104203836706155,1.600237019930943,2005-11-09,0.976003590143884,0.023996409856115952,63.6496062992126
2005,4,0.5881574400314538,0.5761929272404289,0.7102857687096507,-0.0440154114875217,-0.0741616717014324,0.4713323533551815,2006-02-21,0.9745388874734547,0.02546111252654526,60.303030303030305
2006,1,0.6230736930853011,0.6116434998905255,0.7464134522103217,0.6486819699938366,0.5959283969337738,0.9495460043991248,2006-05-31,0.9730066567212015,0.026993343278798543,59.80670611439842
2006,2,0.6416249208747924,0.6380517716533589,0.6789728377369189,1.0167165037459869,1.0951000411482728,0.0568504493305601,2006-08-10,0.9743431937610632,0.025656806238936847,63.55093555093555
2006,3,0.6768933296304739,0.6861283433123054,0.5039467097707199,1.7164002400391865,2.0038479341841033,-2.25992924902031,2006-11-14,0.9791868014936908,0.02081319850630925,62.555299539170505
2006,4,0.7108180049992485,0.7029107827064007,0.7795624273819659,2.3894258868436893,2.3210711868647587,1.3883311937374485,2007-02-09,0.9724433261891455,0.02755667381085447,65.30947368421053
2007,1,0.6620673116314278,0.6561465309533469,0.7363047924412128,1.4222694858057208,1.4371288884942248,0.8157400520950752,2007-05-10,0.9752878943563243,0.024712105643675653,58.441287878787875
2007,2,0.6145481036988347,0.602020174129818,0.7258378780369337,0.4795443069552819,0.4140273855413994,0.6771919674291486,2007-08-08,0.9809451151178341,0.01905488488216589,59.11635750421585
2007,3,0.5989873595234427,0.5811164543816412,0.7138079250595183,0.170837449791305,0.0189033028067644,0.5179543087204217,2007-11-08,0.9812246413709856,0.01877535862901436,57.76599326599327
2007,4,0.6489528843295889,0.6634808536719115,0.5751846516496407,1.1620946773117575,1.5757629484397224,-1.316969364029561,2008-02-22,0.9769785271146997,0.02302147288530032,57.80990415335463
2008,1,0.5364327058000976,0.5289154453088556,0.6063574118790094,-1.0701732842874376,-0.967805095324419,-0.9043428671735722,2008-05-14,0.9734704560396359,0.02652954396036411,60.23260073260073
2008,2,0.5359968460032987,0.5249215096754059,0.6295017346732135,-1.0788202298651892,-1.0432988434553296,-0.5979869087532017,2008-08-15,0.982182599632535,0.01781740036746504,57.935763888888886
2008,3,0.4476932044228469,0.4380953635673552,0.5477558005758453,-2.83066058924497,-2.6844948483586712,-1.6800386157765397,2008-11-17,0.9793476256261596,0.020652374373840376,56.76163873370577
2008,4,0.4532605922039796,0.4314149945979651,0.5782917785022329,-2.7202101657205873,-2.8107678128433475,-1.275841056525229,2009-02-23,0.9748272894190084,0.025172710580991575,59.38607594936709
2009,1,0.5299253621174584,0.515313617987625,0.7063902719931391,-1.1992713270359483,-1.2249081185451969,0.4197685793479693,2009-05-06,0.9717268550975904,0.02827314490240962,58.76470588235294
