period,year,quarter,gdp_yoy,cpi_yoy,m2_yoy,ip_yoy,export_yoy,short_rate_level,short_rate_chg_q
2011Q1,2011,1,10.1,5.075666666666667,16.6,14.333333333333334,28.836666666666662,3.6220483333333333,0.8790967204301077
2011Q2,2011,2,9.9,5.7379999999999995,15.9,13.933333333333332,22.63,4.139219047619048,0.5171707142857147
2011Q3,2011,3,9.3,6.223,13.0,13.766666666666666,22.613333333333333,4.431801538461539,0.29258249084249055
2011Q4,2011,4,8.7,4.596666666666667,13.6,12.799999999999999,17.183333333333334,3.854653968253968,-0.5771475702075706
2012Q1,2012,1,8.1,3.766666666666667,13.4,12.0,9.643333333333333,3.9924290322580642,0.13777506400409623
2012Q2,2012,2,7.7,2.8666666666666667,13.6,9.466666666666667,8.506666666666666,3.2700870967741933,-0.7223419354838709
2012Q3,2012,3,7.5,1.9000000000000001,14.8,9.1,3.013333333333333,3.477733333333333,0.20764623655913983
2012Q4,2012,4,8.1,2.066666666666667,13.8,10.0,6.353333333333334,3.2275557377049178,-0.25017759562841535
2013Q1,2013,1,7.9,2.439966666666667,15.7,9.6,13.39,3.196565,-0.03099073770491767
2013Q2,2013,2,7.6,2.3842,14.0,9.133333333333333,4.5633333333333335,4.4815129032258065,1.2849479032258064
2013Q3,2013,3,7.9,2.7642,14.2,10.1,6.046666666666667,3.973227272727273,-0.5082856304985337
2013Q4,2013,4,7.7,2.9075,13.6,10.0,7.239999999999999,4.660266129032259,0.6870388563049858
2014Q1,2014,1,7.6,2.274,12.1,8.700000000000001,-1.2500000000000002,4.0227216666666665,-0.6375444623655921
2014Q2,2014,2,7.7,2.2049333333333334,14.7,8.9,3.366666666666667,3.336609677419355,-0.6861119892473115
2014Q3,2014,3,7.3,1.9678666666666667,12.9,7.966666666666666,7.333333333333333,3.49705303030303,0.16044335288367506
2014Q4,2014,4,7.4,1.5153333333333334,12.2,7.6000000000000005,3.9133333333333336,3.4742258064516127,-0.022827223851417333
2015Q1,2015,1,7.1,1.1902333333333333,11.6,6.266666666666666,-4.696666666666666,4.30864,0.8344141935483869
2015Q2,2015,2,7.1,1.3769333333333333,11.8,6.266666666666667,-7.68,2.44975873015873,-1.8588812698412696
2015Q3,2015,3,7.0,1.7327666666666666,13.1,5.933333333333334,-9.92,2.4883384615384614,0.03857973137973136
2015Q4,2015,4,6.9,1.4509999999999998,13.3,5.8999999999999995,-8.200000000000001,2.323206349206349,-0.16513211233211234
2016Q1,2016,1,6.8,2.133797,13.4,5.857553666666667,-13.273333333333333,2.3235901639344263,0.0003838147280772475
2016Q2,2016,2,6.7,2.0821223333333334,11.8,6.066666666666666,-6.663333333333334,2.333741935483871,0.010151771549444799
2016Q3,2016,3,6.7,1.6750373333333333,11.5,6.133333333333333,-5.816666666666667,2.358673846153846,0.02493191066997502
2016Q4,2016,4,6.8,2.141583333333333,11.3,6.1000000000000005,-2.0366666666666666,2.4540015873015872,0.09532774114774112
2017Q1,2017,1,7.0,1.4163516666666667,10.1,6.953277,14.603333333333333,2.6417508196721315,0.1877492323705443
2017Q2,2017,2,7.0,1.4000000000000001,9.1,6.866666666666667,10.716666666666667,2.848243548387097,0.2064927287149656
2017Q3,2017,3,6.9,1.5999999999999999,9.0,6.333333333333333,10.003333333333332,2.8621939393939395,0.013950391006842366
2017Q4,2017,4,6.8,1.8,8.1,6.166666666666667,11.106666666666667,2.8638306451612903,0.0016367057673507546
2018Q1,2018,1,6.9,2.1666666666666665,8.2,6.438206,17.19333333333333,2.85482131147541,-0.009009333685880083
2018Q2,2018,2,6.9,1.8333333333333333,8.0,6.6000000000000005,15.583333333333334,2.8226984126984123,-0.03212289877699792
2018Q3,2018,3,6.7,2.3000000000000003,8.3,5.966666666666666,15.616666666666667,2.638287878787879,-0.1844105339105333
2018Q4,2018,4,6.5,2.1999999999999997,8.1,5.666666666666667,4.833333333333334,2.65240625,0.014118371212120895
2019Q1,2019,1,6.4,1.8333333333333333,8.6,6.21949,-1.8699999999999999,2.5767499999999997,-0.0756562500000002
2019Q2,2019,2,6.1,2.6333333333333333,8.5,5.566666666666666,-2.1466666666666665,2.589508064516129,0.012758064516129153
2019Q3,2019,3,6.0,2.8666666666666667,8.4,5.0,-3.013333333333333,2.610260606060606,0.020752541544477143
2019Q4,2019,4,5.9,4.266666666666667,8.7,5.933333333333334,2.74,2.5868145161290323,-0.0234460899315736
2020Q1,2020,1,-6.8,4.966666666666667,10.1,-10.426857,-9.496666666666666,2.2654098360655737,-0.3214046800634587
2020Q2,2020,2,3.2,2.733333333333333,11.1,4.366666666666667,-4.336666666666667,1.8325967741935483,-0.4328130618720254
2020Q3,2020,3,4.9,2.2666666666666666,10.9,5.766666666666667,6.293333333333334,2.176373134328358,0.34377636013480983
