h,shock,beta,se,nobs,bw,lo_90,hi_90,lo_95,hi_95,index,shock_label
9,tone_p90_all_z,-1.02945755706652,0.634366633069969,4666,14,-2.07289781428865,0.013982700155613,-2.27279331087759,0.213878196744556,HS300,ToneAll (z)
10,tone_p90_all_z,-1.17178242538532,0.675485933645544,4665,15,-2.28285791329689,-0.0607069374737415,-2.495710527394,0.152145676623363,HS300,ToneAll (z)
0,tone_p90_all_z,-0.442926995368564,0.289269664138316,4675,5,-0.918733251593506,0.0328792608563788,-1.00988511889966,0.124031128162532,CSI500,ToneAll (z)
1,tone_p90_all_z,-0.0373102581715432,0.323640332747846,4674,6,-0.569651233319619,0.495030716976532,-0.67163365430188,0.597013137958793,CSI500,ToneAll (z)
2,tone_p90_all_z,-0.273929992215331,0.429615293509742,4673,7,-0.980584265938651,0.432724281507989,-1.11596049470203,0.568100510271367,CSI500,ToneAll (z)
3,tone_p90_all_z,-0.441843869746613,0.573443257619074,4672,8,-1.38507409189221,0.501386352398988,-1.56577200185732,0.682084262364096,CSI500,ToneAll (z)
4,tone_p90_all_z,-0.44364873033751,0.615471428637008,4671,9,-1.4560091420161,0.568711681341076,-1.64995056397946,0.762653103304439,CSI500,ToneAll (z)
5,tone_p90_all_z,-0.246380725732742,0.73407671127325,4670,10,-1.45382946673115,0.96106801526567,-1.68514464171792,1.19238319025243,CSI500,ToneAll (z)
6,tone_p90_all_z,-0.0996782692671018,0.559975314044724,4669,11,-1.02075569557686,0.821399157042652,-1.19720971702627,0.997853178492063,CSI500,ToneAll (z)
7,tone_p90_all_z,-0.44298567373413,0.63776174415802,4668,12,-1.49201039174334,0.606039044275085,-1.6929757230013,0.807004375533036,CSI500,ToneAll (z)
8,tone_p90_all_z,-0.593430091570741,0.65786253453112,4667,13,-1.67551766752974,0.488657484388259,-1.88281696602997,0.695956782888491,CSI500,ToneAll (z)
9,tone_p90_all_z,-0.912640800294824,0.742186358147937,4666,14,-2.13342872336836,0.308147122778714,-2.36729933208172,0.542017731492078,CSI500,ToneAll (z)
10,tone_p90_all_z,-1.04140363407498,0.764140801220681,4665,15,-2.29830340246442,0.215496134314462,-2.53909208358509,0.456284815435136,CSI500,ToneAll (z)
