index,h,shock,beta,se,nobs,lo_90,hi_90,lo_95,hi_95,shock_label
SZ,2,d_tone_policy,0.125821744818721,0.39151227319652,77,-0.51815863774459,0.769802127382032,-0.641528210151864,0.893171699789306,dTonePolicy (z)
SZ,2,d_tone_macro,-0.218625681845294,0.399121910914414,77,-0.875122804608671,0.437871440918082,-1.00089025267835,0.563638888987761,dToneMacro (z)
SZ,3,d_tone_policy,0.0505069979040648,0.464991667280897,77,-0.714336232525131,0.81535022833326,-0.860859923077725,0.961873918885854,dTonePolicy (z)
SZ,3,d_tone_macro,-0.0122689153300424,0.472821342713153,77,-0.789990815791837,0.765452985131753,-0.938981718169692,0.914443887509608,dToneMacro (z)
SZ,4,d_tone_policy,-0.252555545685333,0.48685465602368,77,-1.05336019244409,0.548249101073428,-1.20677313719738,0.701662045826716,dTonePolicy (z)
SZ,4,d_tone_macro,-0.109988792227527,0.485403813046032,77,-0.908407014652366,0.688429430197313,-1.06136278375616,0.841385199301109,dToneMacro (z)
SZ,5,d_tone_policy,-0.0293582759939374,0.495128634627587,77,-0.843772406468653,0.785055854480778,-0.999792567578498,0.941076015590623,dTonePolicy (z)
SZ,5,d_tone_macro,-0.0680529056385697,0.547327756614915,77,-0.968326951237825,0.832221139960686,-1.14079559634291,1.00468978506577,dToneMacro (z)
SZ,6,d_tone_policy,-0.683041813350751,0.495039222792395,77,-1.49730887444406,0.131225247742558,-1.65330086095855,0.287217234257043,dTonePolicy (z)
SZ,6,d_tone_macro,-0.17765020111939,0.488066095264117,77,-0.980447488106616,0.625147085867836,-1.13424216991215,0.778941767673374,dToneMacro (z)
SZ,7,d_tone_policy,-0.665416945814773,0.604385378477284,77,-1.65954242767957,0.328708536050026,-1.84999052041286,0.519156628783313,dTonePolicy (z)
SZ,7,d_tone_macro,-0.207413767043156,0.550542148416593,77,-1.11297501665584,0.698147482569532,-1.28645654991098,0.871629015824671,dToneMacro (z)
SZ,8,d_tone_policy,-0.732547905338761,0.632710555313544,77,-1.77326415705672,0.308168346379201,-1.97263780639164,0.507541995714122,dTonePolicy (z)
SZ,8,d_tone_macro,-0.0740074042005614,0.57327588183586,77,-1.01696231768208,0.868947509280956,-1.19760748580429,1.04959267740316,dToneMacro (z)
SZ,9,d_tone_policy,-0.808524179951868,0.665227809994504,77,-1.90272655597031,0.285678196066577,-2.11234672905555,0.495298369151815,dTonePolicy (z)
SZ,9,d_tone_macro,-0.391665880029422,0.675716966168171,77,-1.50312138262378,0.719789622564939,-1.71604679746171,0.932715037402863,dToneMacro (z)
SZ,10,d_tone_policy,-0.793711656030264,0.726504982135432,77,-1.98870601089404,0.401282698833516,-2.21763525560463,0.630211943544098,dTonePolicy (z)
SZ,10,d_tone_macro,-0.184597193542958,0.652817252871263,77,-1.25838601966475,0.889191632578835,-1.46409549765701,1.09490111057109,dToneMacro (z)
HS300,0,d_tone_policy,0.0283294050681963,0.191037658009116,77,-0.285899579592414,0.342558389728806,-0.346097524320552,0.402756334456944,dTonePolicy (z)
HS300,0,d_tone_macro,0.156636169155622,0.219289010783156,77,-0.204062155581653,0.517334493892897,-0.27316239418478,0.586434732496024,dToneMacro (z)
HS300,1,d_tone_policy,-0.0207214838652402,0.251119090649269,77,-0.433775630916445,0.392332663185965,-0.512905857368256,0.471462889637775,dTonePolicy (z)
HS300,1,d_tone_macro,-0.108310922908149,0.254212595751208,77,-0.526453433046273,0.309831587229974,-0.606558454996957,0.389936609180659,dToneMacro (z)
HS300,2,d_tone_policy,0.0279335724475701,0.284161714622484,77,-0.439470854489972,0.495337999385112,-0.529013153997647,0.584880298892787,dTonePolicy (z)
HS300,2,d_tone_macro,-0.337016341405506,0.342629556562167,77,-0.90059181021756,0.226559127406549,-1.00855793230628,0.33452524949527,dToneMacro (z)
HS300,3,d_tone_policy,0.0631831772815961,0.386923361623873,77,-0.573249117437687,0.699615472000879,-0.695172676278361,0.821539030841553,dTonePolicy (z)
HS300,3,d_tone_macro,-0.161406558963697,0.424899757881799,77,-0.860304466806377,0.537491348878983,-0.994194781451812,0.671381663524419,dToneMacro (z)
HS300,4,d_tone_policy,-0.142562684597492,0.463414609040367,77,-0.904811885059838,0.619686515864854,-1.05083862822632,0.765713259031337,dTonePolicy (z)
