h,shock,beta,se,nobs,bw,lo_90,hi_90,lo_95,hi_95,index,shock_label
0,d_tone_policy,0.0973856342363606,0.187047075098564,4675,0,-0.210279425650177,0.405050694122898,-0.269219896370383,0.463991164843105,CSI500,ΔTonePolicy (z)
0,d_tone_macro,0.16683189573638,0.181972756931225,4675,0,-0.132486653508305,0.466150444981064,-0.189828154016283,0.523491945489043,CSI500,ΔToneMacro (z)
1,d_tone_policy,0.0912608361553927,0.303184207954294,4674,1,-0.407432807932637,0.589954480243423,-0.502969292116326,0.685490964427112,CSI500,ΔTonePolicy (z)
1,d_tone_macro,0.00874772222932683,0.262270330806319,4674,1,-0.422648582639209,0.440144027097863,-0.505292680364464,0.522788124823117,CSI500,ΔToneMacro (z)
2,d_tone_policy,0.243862395424945,0.361517317131753,4673,2,-0.350780674864984,0.838505465714874,-0.464698525940835,0.952423316790725,CSI500,ΔTonePolicy (z)
2,d_tone_macro,-0.0363265035797744,0.342297351273745,4673,2,-0.599355543318275,0.526702536158726,-0.707216984079769,0.63456397692022,CSI500,ΔToneMacro (z)
3,d_tone_policy,0.297332146468862,0.414379826989756,4672,3,-0.384262014890762,0.978926307828486,-0.514837390350998,1.10950168328872,CSI500,ΔTonePolicy (z)
3,d_tone_macro,0.126727352948094,0.402405157880134,4672,3,-0.535170230495025,0.788624936391212,-0.661972263690124,0.915426969586311,CSI500,ΔToneMacro (z)
4,d_tone_policy,0.16582438492978,0.409724169793319,4671,4,-0.508111901804442,0.839760671664002,-0.6372202314607,0.968869001320259,CSI500,ΔTonePolicy (z)
4,d_tone_macro,0.0321947025331039,0.444928231250211,4671,4,-0.699647112371909,0.764036517438117,-0.839848606422418,0.904238011488626,CSI500,ΔToneMacro (z)
5,d_tone_policy,0.312470511034447,0.491645162199362,4670,5,-0.496213817182318,1.12115483925121,-0.651136300049656,1.27607732211855,CSI500,ΔTonePolicy (z)
5,d_tone_macro,-0.0532680390146717,0.554673940801678,4670,5,-0.965625482317777,0.859089404288434,-1.14040898614886,1.03387290811952,CSI500,ΔToneMacro (z)
6,d_tone_policy,-0.282058183983378,0.520191429863883,4669,6,-1.13769694410406,0.573580576137302,-1.30161465158298,0.737498283616225,CSI500,ΔTonePolicy (z)
6,d_tone_macro,-0.0240364467733846,0.503807215218548,4669,6,-0.852725572009934,0.804652678463165,-1.01148044375316,0.96340755020639,CSI500,ΔToneMacro (z)
7,d_tone_policy,-0.314012899738753,0.647664388605301,4668,7,-1.37932601838349,0.751300218905983,-1.5834117754743,0.955385975996789,CSI500,ΔTonePolicy (z)
7,d_tone_macro,-0.139901944583416,0.604657693467627,4668,7,-1.13447534474775,0.854671455580921,-1.32500924675502,1.04520535758819,CSI500,ΔToneMacro (z)
8,d_tone_policy,-0.281029694991531,0.75706483822206,4667,8,-1.52629053997852,0.964231149995454,-1.76484951186841,1.20279012188535,CSI500,ΔTonePolicy (z)
8,d_tone_macro,0.0830899376950447,0.598162726172355,4667,8,-0.900800191956732,1.06698006734682,-1.08928746249706,1.25546733788715,CSI500,ΔToneMacro (z)
9,d_tone_policy,-0.476787723797598,0.844805661366171,4666,9,-1.86636937996488,0.912793932369685,-2.13257639401083,1.17900094641564,CSI500,ΔTonePolicy (z)
9,d_tone_macro,-0.326322753490579,0.639574017197586,4666,9,-1.37832839538195,0.725682888400793,-1.57986479264545,0.927219285664291,CSI500,ΔToneMacro (z)
10,d_tone_policy,-0.286873100108782,0.916826816601662,4665,10,-1.7949190146824,1.22117281446483,-2.08382064070855,1.51007444049098,CSI500,ΔTonePolicy (z)
10,d_tone_macro,-0.177481744859383,0.637312366903874,4665,10,-1.22576730306225,0.870803813343481,-1.42659103089295,1.07162754117419,CSI500,ΔToneMacro (z)
