year,quarter,n_sentences,topn_target,tone_all,tone_p90_all,tone_policy,tone_p90_policy,tone_macro,tone_p90_macro,tone_all_z,tone_p90_all_z,tone_policy_z,tone_p90_policy_z,tone_macro_z,tone_p90_macro_z,similarity_prev,surprise_prev,avg_sent_len,avg_sent_len_rows,prev_quarter_available
2010,2,589,71,0.992699,0.998918,0.175329,0.980875,0.160623,0.991369,0.372898,0.564392,-0.475467,0.30835,0.482448,0.807606,0.22151985801569374,0.7784801419843063,18.058693244739757,55.37181663837012,1
2010,3,600,72,0.98571,0.998988,0.274468,0.996539,0.195072,0.986184,0.259746,0.808885,0.995562,0.392487,0.948501,0.794548,0.2096013083385678,0.7903986916614322,18.031543995572772,54.305,1
2010,4,596,72,0.981809,0.998827,0.130411,0.957767,0.092947,0.650001,0.196592,0.24167,-1.141963,0.184224,-0.433131,-0.052033,0.23816278313934497,0.7618372168606551,18.012616566099837,55.09563758389262,1
2011,1,551,66,0.994771,0.999139,0.171333,0.983709,0.147652,0.984651,0.406445,1.34116,-0.53476,0.323571,0.306971,0.790689,0.22419415910967996,0.77580584089032,19.169764560099132,56.152450090744104,1
2011,2,579,69,0.995386,0.998977,0.227088,0.997164,0.136799,0.995741,0.416399,0.77148,0.292535,0.395844,0.160139,0.818615,0.3182229292341582,0.6817770707658418,17.55069124423963,52.62176165803109,1
2011,3,563,68,0.996786,0.999134,0.283407,0.99813,0.151988,0.986504,0.439067,1.32244,1.12821,0.401031,0.365623,0.795356,0.2702649064513084,0.7297350935486916,17.094317516110134,51.82948490230906,1
2011,4,578,69,0.997016,0.999117,0.231733,0.996493,0.238992,0.995256,0.442776,1.26301,0.361466,0.392237,1.54269,0.817394,0.2930086118745123,0.7069913881254877,18.147935779816514,54.75778546712803,1
2012,1,554,66,0.993985,0.998798,0.279229,0.99777,0.137792,0.992984,0.39371,0.140386,1.066217,0.399096,0.173574,0.811674,0.23723943099222863,0.7627605690077713,17.95919610231425,53.22924187725632,1
2012,2,531,64,0.996514,0.999033,0.274084,0.998052,0.114446,0.991708,0.43465,0.965996,0.98987,0.400614,-0.142266,0.808459,0.23754220371452642,0.7624577962854736,18.02887633396108,54.08662900188324,1
2012,3,565,68,0.990533,0.998964,0.12376,0.908422,0.085907,0.958209,0.337835,0.724798,-1.240648,-0.080827,-0.528371,0.724102,0.24893965547724972,0.7510603445227503,17.618904274533413,51.796460176991154,1
2012,4,613,74,0.994161,0.998908,0.26685,0.996689,0.102598,0.661829,0.396561,0.528784,0.88253,0.393292,-0.302567,-0.022248,0.23257247237333556,0.7674275276266644,18.116025272831706,51.451876019575856,1
2013,1,562,67,0.99359,0.99899,0.248708,0.995142,0.093044,0.251848,0.387325,0.817013,0.613338,0.384982,-0.43181,-1.054668,0.1407514426229774,0.8592485573770225,17.60436137071651,50.27580071174377,1
2013,2,591,71,0.993177,0.999,0.298776,0.997794,0.16866,0.801371,0.380631,0.8498,1.356255,0.399225,0.591181,0.32915,0.15941933309176545,0.8405806669082345,18.18444313494402,52.21489001692047,1
2013,3,596,72,0.980326,0.998594,0.216369,0.992319,0.101938,0.302535,0.172583,-0.575992,0.133482,0.36982,-0.311489,-0.927027,0.20727816679623862,0.7927218332037613,17.99942429476108,52.45805369127517,1
2013,4,662,79,0.952459,0.998838,0.137473,0.909916,0.091101,0.019688,-0.278568,0.281077,-1.03717,-0.072803,-0.458105,-1.639298,0.26570534491675923,0.7342946550832408,18.47935656836461,52.06042296072508,1
2014,1,631,76,0.984594,0.998516,0.216458,0.995485,0.097904,0.313565,0.241675,-0.849143,0.13481,0.386823,-0.366071,-0.899252,0.2105616294643953,0.7894383705356047,17.84169014084507,50.188589540412046,1
2014,2,600,72,0.983915,0.998812,0.234714,0.996496,0.057617,0.013394,0.230685,0.190068,0.405692,0.392256,-0.911101,-1.655147,0.23456447578223394,0.7654355242177661,17.89443488238669,51.983333333333334,1
2014,3,626,75,0.993296,0.999008,0.222084,0.996131,0.024546,0.064267,0.38255,0.879658,0.218292,0.390294,-1.358511,-1.527038,0.2646601023633991,0.7353398976366009,18.46449864498645,54.42012779552716,1
2014,4,651,78,0.98485,0.998704,0.126503,0.606848,0.082119,0.94074,0.245828,-0.190287,-1.199947,-1.700713,-0.57962,0.680113,0.24458022876572993,0.7554197712342701,18.7248427672956,54.88018433179724,1
2015,1,652,78,0.983242,0.998914,0.262962,0.991119,0.019425,0.079467,0.219797,0.5478,0.824838,0.363371,-1.427787,-1.488761,0.25002591860758455,0.7499740813924154,19.1042679632631,54.236196319018404,1
2015,2,623,75,0.983637,0.998946,0.210218,0.994612,0.044112,0.005617,0.226185,0.660735,0.042221,0.382136,-1.093808,-1.674733,0.2744201065455066,0.7255798934544935,18.726973684210527,54.82825040128411,1
2015,3,642,77,0.991646,0.998938,0.13738,0.992762,0.089607,0.985635,0.355847,0.634176,-1.03855,0.372199,-0.478311,0.793168,0.2773534439819454,0.7226465560180546,18.52537796976242,53.440809968847354,1
