event_date,event_date_raw,D_policy,S_policy,S_policy_available,interbank_date_used,D_RRR,D_RateAdj,D_SLF
2021-02-20,2021-02-20,1,0.36719999999999997,1,2021-02-20,0,1,0
2021-03-22,2021-03-22,1,0.07520000000000016,1,2021-03-22,0,1,0
2021-04-20,2021-04-20,1,-0.1019000000000001,1,2021-04-20,0,1,0
2021-05-20,2021-05-20,1,0.12749999999999995,1,2021-05-20,0,1,0
2021-06-21,2021-06-21,1,0.2166999999999999,1,2021-06-21,0,1,0
2021-07-09,2021-07-09,1,-0.23950000000000005,1,2021-07-09,1,0,0
2021-07-20,2021-07-20,1,0.09880000000000022,1,2021-07-20,0,1,0
2021-08-20,2021-08-20,1,-0.17870000000000008,1,2021-08-20,0,1,0
2021-09-22,2021-09-22,1,0.20840000000000014,1,2021-09-22,0,1,0
2021-10-20,2021-10-20,1,-0.12440000000000007,1,2021-10-20,0,1,0
2021-11-22,2021-11-22,1,0.09289999999999976,1,2021-11-22,0,1,0
2021-12-06,2021-12-06,1,0.07500000000000018,1,2021-12-06,1,0,0
2021-12-20,2021-12-20,1,0.05439999999999978,1,2021-12-20,0,1,0
2022-01-19,2022-01-19,1,0.1554000000000002,1,2022-01-19,0,1,0
2022-02-07,2022-02-07,1,-0.008799999999999919,1,2022-02-07,0,0,1
2022-02-21,2022-02-21,1,0.06709999999999994,1,2022-02-21,0,1,0
2022-03-01,2022-03-01,1,-0.3969999999999998,1,2022-03-01,0,0,1
2022-03-21,2022-03-21,1,-0.04530000000000012,1,2022-03-21,0,1,0
2022-04-01,2022-04-01,1,-0.8926999999999998,1,2022-04-01,0,0,1
2022-04-15,2022-04-15,1,-0.2671999999999999,1,2022-04-15,1,0,0
2022-04-20,2022-04-20,1,0.04080000000000039,1,2022-04-20,0,1,0
2022-05-05,2022-05-05,1,-0.11060000000000025,1,2022-05-05,0,0,1
2022-05-20,2022-05-20,1,-0.2765000000000002,1,2022-05-20,0,1,0
2022-06-01,2022-06-01,1,-0.11919999999999975,1,2022-06-01,0,0,1
2022-06-20,2022-06-20,1,0.19690000000000007,1,2022-06-20,0,1,0
2022-07-01,2022-07-01,1,-1.1663000000000001,1,2022-07-01,0,0,1
2022-07-20,2022-07-20,1,0.19819999999999993,1,2022-07-20,0,1,0
2022-08-01,2022-08-01,1,0.04820000000000002,1,2022-08-01,0,0,1
