date,SH,SZ,HS300,CSI500,usdcny_mid,usdcny_chg,fx_ret,shibor_1w,ib_7d,short_rate,short_rate_chg,ib_minus_shibor,S_gdp,D_gdp,GDPForecastAvailEvent,S_policy,D_policy,D_report,ToneAllEvent_raw,ToneAllEvent_z,ReadabilityEvent,SimilarityEvent,PolicySurpriseEvent
2021-09-09,0.4869504975230065,0.0711208297961751,-0.0426467547656965,0.9683820478871422,6.4615,-0.0058999999999995,-0.0009126840503915,2.158,2.196,2.158,-0.0430000000000001,0.0380000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-10,0.2698670150476132,0.497720773398339,0.8716411024019849,-0.1284719114878535,6.4566,-0.0049000000000001,-0.0007586255308444,2.199,2.2114,2.199,0.0409999999999999,0.0123999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-13,0.3305262307496889,-0.4480682718647109,-0.4369743429721545,0.53852868865854,6.4497,-0.0068999999999999,-0.0010692453541896,2.203,2.224,2.203,0.004,0.0210000000000003,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-14,-1.4304991717129854,-0.5437777254420141,-1.5037391706095098,-1.211823552477147,6.45,0.0003000000000001,4.651270960639332e-05,2.28,2.2388,2.28,0.0769999999999999,-0.0411999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-15,-0.1743450888549015,-0.615657931667152,-1.0187650455892578,0.4711892659378946,6.4492,-0.0007999999999999,-0.0001240387002334,2.213,2.2695,2.213,-0.0669999999999997,0.0564999999999997,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-16,-1.352847374281616,-1.9322386886415637,-1.2324678331719356,-1.9332683168848463,6.433,-0.0162000000000004,-0.0025150996785844,2.234,2.2818,2.234,0.0209999999999999,0.0478,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-17,0.190553799077035,0.7074724039573034,0.9983898552888864,-0.6923389622280613,6.4527,0.0197000000000002,0.0030576554394966,2.398,2.3144,2.398,0.1640000000000001,-0.0836000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-22,0.4009692688377688,-0.574654017229002,-0.7061617261638239,0.7820000279532597,6.4693,0.0165999999999995,0.0025692631375233,2.232,2.3824,2.232,-0.0019999999999997,0.1503999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-23,0.3776802078657258,0.7694589122205291,0.6497200624791112,0.6581795115178622,6.4749,0.0056000000000002,0.000865252445014,2.189,2.3725,2.189,-0.0430000000000001,0.1835,0.0,0,0,0.2084000000000001,1,0,0.0,0.0,0.0,0.0,0.0
2021-09-24,-0.8035559392290081,-0.205321236943907,-0.0777108926079727,-1.6456487731107634,6.4599,-0.0149999999999996,-0.0023193256523623,2.219,2.3534,2.219,0.0299999999999998,0.1344000000000003,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-27,-0.8404835535726379,-0.0944877351225782,0.5744967891968223,-2.8837189267352317,6.4695,0.0095999999999998,0.0014849879753354,1.984,2.2328,1.984,-0.2059999999999999,0.2488000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-28,0.5397331144839462,-0.2126449474970351,0.1323607946384984,0.3940298038175482,6.4608,-0.0087000000000001,-0.0013456766374891,2.115,2.2764,2.115,0.1310000000000002,0.1614,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-29,-1.847216708084581,-1.6539758101220503,-1.0269946692684626,-2.65591522809609,6.4662,0.0053999999999998,0.0008354607123226,2.45,2.4444,2.45,0.3349999999999999,-0.0056000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.8974704335522709,1.6203662750391954,0.6690532786507023,1.3234021242676894,6.4854,0.0192000000000005,0.0029648868193713,2.266,2.7349,2.266,-0.1840000000000001,0.4689000000000001,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-08,0.6703617391605786,0.7321647974564818,1.2976483393466471,-0.1728784258618715,6.4604,-0.0250000000000003,-0.0038622612858542,2.17,2.7387,2.17,-0.096,0.5687000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-11,-0.0128064500138882,-0.3235385231114216,0.1266960973762974,-0.0122692378630289,6.4479,-0.0125000000000001,-0.0019367389830183,2.199,2.5421,2.199,0.3029999999999999,0.3431000000000002,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-12,-1.254315226911656,-1.6294797122251303,-1.0661982889829815,-1.969491104268721,6.4447,-0.0031999999999996,-0.0004964088028345,2.167,2.3959,2.167,-0.032,0.2289000000000003,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-13,0.4169544774880714,1.5283678914948686,1.1455802479321664,0.4219966675213625,6.4612,0.0164999999999997,0.0025569714610976,2.202,2.1922,2.202,0.0350000000000001,-0.0097999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-14,-0.0977522676027019,-0.0815488470485001,-0.5378692288350533,0.382275703702049,6.4414,-0.0198,-0.0030691512629214,2.198,2.1715,2.198,-0.004,-0.0264999999999999,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-15,0.3951959032656741,0.5188942341172107,0.3757982508557735,0.2256193550125081,6.4386,-0.0027999999999996,-0.0004347826155447,2.132,2.1721,2.132,-0.0659999999999998,0.0400999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-18,-0.1184789460364493,-0.4586671259163709,-1.1691913152231186,0.623606751461742,6.43,-0.0086000000000003,-0.0013365869294717,2.174,2.2092,2.174,0.0419999999999998,0.0352000000000001,-0.0999999999999996,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-10-19,0.6984803486845629,1.038145129887747,0.978624804350908,0.7369392154956819,6.4307,0.0007000000000001,0.0001088587714029,2.283,2.2069,2.283,0.1089999999999999,-0.0760999999999998,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
