date,usdcny_mid,usdcny_chg,fx_ret,shibor_1w,ib_7d,short_rate,short_rate_chg,ib_minus_shibor
2015-02-11,6.1315,0.0019999999999997797,0.000326237667031673,4.42,4.4455,4.42,0.0990000000000002,0.025500000000000078
2015-02-12,6.1333,0.0018000000000002458,0.0002935229295093199,4.602,4.4521,4.602,0.18200000000000038,-0.1499000000000006
2015-02-13,6.1288,-0.0045000000000001705,-0.0007339689289789543,4.663,4.503,4.663,0.06099999999999994,-0.16000000000000014
2015-02-15,6.1288,0.0,0.0,4.72,4.5695,4.72,0.056999999999999496,-0.15050000000000008
2015-02-16,6.1273,-0.0015000000000000568,-0.00024477607191353886,4.7,4.6292,4.7,-0.019999999999999574,-0.0708000000000002
2015-02-17,6.133,0.005700000000000038,0.0009298304952859595,4.749,4.7303,4.749,0.04899999999999949,-0.01869999999999994
2015-02-25,6.1384,0.005399999999999849,0.000880095237471735,4.768,4.7781,4.768,0.019000000000000128,0.010100000000000442
2015-02-26,6.1379,-0.0004999999999997229,-8.145776826501584e-05,4.717,4.7939,4.717,-0.051000000000000156,0.07690000000000019
2015-02-27,6.1475,0.009599999999999831,0.0015628309951571282,4.715,4.7904,4.715,-0.0019999999999997797,0.07540000000000013
2015-02-28,6.1475,0.0,0.0,4.772,4.8415,4.772,0.057000000000000384,0.06949999999999967
2015-03-02,6.1513,0.0038000000000000256,0.0006179464859859662,4.748,4.83,4.748,-0.02400000000000002,0.08199999999999985
2015-03-03,6.1543,0.0030000000000001137,0.0004875828987509257,4.747,4.8273,4.747,-0.001000000000000334,0.08030000000000026
2015-03-04,6.1525,-0.0018000000000002458,-0.0002925212098734468,4.717,4.832,4.717,-0.03000000000000025,0.11500000000000021
2015-03-05,6.1528,0.000300000000000189,4.8759477633046834e-05,4.729,4.8254,4.729,0.012000000000000455,0.09640000000000004
2015-03-06,6.1533,0.0004999999999997229,8.126051312347983e-05,4.739,4.798,4.739,0.009999999999999787,0.05900000000000016
2015-03-09,6.1563,0.0030000000000001137,0.00048742445886060086,4.773,4.8039,4.773,0.03399999999999981,0.030899999999999928
2015-03-10,6.1572,0.0008999999999996788,0.00014618102109112673,4.763,4.8128,4.763,-0.009999999999999787,0.04980000000000029
2015-03-11,6.1597,0.002500000000000391,0.00040594630699811114,4.773,4.8149,4.773,0.009999999999999787,0.04190000000000005
2015-03-12,6.1617,0.0019999999999997797,0.00032463843679533393,4.7511,4.8115,4.7511,-0.021899999999999586,0.060399999999999565
2015-03-13,6.1588,-0.0028999999999994586,-0.0004707601239489809,4.738,4.8039,4.738,-0.013099999999999667,0.06589999999999918
2015-03-16,6.1615,0.0026999999999999247,0.00043830102241415494,4.708,4.7778,4.708,-0.03000000000000025,0.06979999999999986
2015-03-17,6.1585,-0.0030000000000001137,-0.0004870129966389254,4.62,4.7389,4.62,-0.08800000000000008,0.1189
2015-03-18,6.1556,-0.0029000000000003467,-0.0004710047918423166,4.602,4.703,4.602,-0.017999999999999794,0.10099999999999998
2015-03-19,6.146,-0.009599999999999831,-0.0015607728992666527,4.496,4.6684,4.496,-0.10599999999999987,0.17239999999999966
2015-03-20,6.1496,0.0036000000000004917,0.0005855753444923814,4.331,4.5924,4.331,-0.16500000000000004,0.2613999999999992
2015-03-23,6.1448,-0.0048000000000003595,-0.0007808433504500534,4.143,4.4846,4.143,-0.1880000000000006,0.34160000000000057
2015-03-24,6.1398,-0.004999999999999893,-0.0008140273637074125,4.033,4.359,4.033,-0.10999999999999943,0.3259999999999996
2015-03-25,6.141,0.0011999999999998678,0.00019542700863443515,3.955,4.2283,3.955,-0.07800000000000029,0.2732999999999999
2015-03-26,6.1375,-0.0034999999999998366,-0.0005701022266231696,3.897,4.102,3.897,-0.058000000000000274,0.20500000000000052
2015-03-27,6.1397,0.002200000000000202,0.00035838790987328565,3.893,4.0276,3.893,-0.0040000000000000036,0.13459999999999983
2015-03-30,6.1402,0.0004999999999997229,8.143388794301322e-05,3.919,4.0123,3.919,0.026000000000000245,0.09329999999999972
2015-03-31,6.1422,0.0019999999999997797,0.00032566925318767916,3.886,4.0181,3.886,-0.03299999999999992,0.13209999999999944
2015-04-01,6.1434,0.0011999999999998678,0.00019535065504590316,3.754,4.0124,3.754,-0.13200000000000012,0.2584000000000004
2015-04-02,6.1396,-0.0038000000000000256,-0.000618741369573067,3.635,3.9688,3.635,-0.11900000000000022,0.3338000000000001
2015-04-03,6.1348,-0.004799999999999471,-0.0007821156626281896,3.506,3.8792,3.506,-0.129,0.3732000000000002
2015-04-07,6.1305,-0.004300000000000637,-0.0007011651041832238,3.319,3.7408,3.319,-0.18699999999999983,0.4218000000000002
2015-04-08,6.1345,0.004000000000000448,0.000652262558795803,3.163,3.5767,3.163,-0.15600000000000014,0.4137000000000004
2015-04-09,6.1338,-0.000700000000000145,-0.00011411524021418805,3.073,3.408,3.073,-0.08999999999999986,0.33499999999999996
2015-04-10,6.137,0.0031999999999996476,0.000521563398073652,2.97,3.2768,2.97,-0.10299999999999976,0.30679999999999996
2015-04-13,6.1395,0.002500000000000391,0.00040728221147051695,2.949,3.1683,2.949,-0.02100000000000035,0.21930000000000005
2015-04-14,6.1407,0.0011999999999998678,0.0001954365570298854,2.92,3.0854,2.92,-0.028999999999999915,0.1654
2015-04-15,6.134,-0.006699999999999484,-0.0010916764834003891,2.88,3.0373,2.88,-0.040000000000000036,0.15730000000000022
2015-04-16,6.1305,-0.0035000000000007248,-0.0005707530017552842,2.884,3.0146,2.884,0.0040000000000000036,0.13060000000000027
2015-04-17,6.1267,-0.0038000000000000256,-0.000620043749264755,2.873,2.996,2.873,-0.010999999999999677,0.12299999999999978
2015-04-19,6.1267,0.0,0.0,2.873,2.996,2.873,0.0,0.12299999999999978
2015-04-20,6.1255,-0.0011999999999998678,-0.0001958831889516545,2.732,2.9732,2.732,-0.14100000000000001,0.24119999999999964
2015-04-21,6.128,0.002500000000000391,0.0004080466862019881,2.62,2.9254,2.62,-0.1120000000000001,0.30539999999999967
2015-04-22,6.129,0.0009999999999994458,0.00016317206530439053,2.567,2.8456,2.567,-0.052999999999999936,0.27859999999999996
2015-04-23,6.1281,-0.0008999999999996788,-0.00014685366059138307,2.527,2.755,2.527,-0.040000000000000036,0.22799999999999976
2015-04-24,6.1241,-0.0039999999999995595,-0.0006529439842822818,2.488,2.6695,2.488,-0.039000000000000146,0.18150000000000022
2015-04-27,6.122,-0.002100000000000435,-0.0003429663355002857,2.451,2.5855,2.451,-0.03699999999999992,0.13450000000000006
2015-04-28,6.1209,-0.001100000000000101,-0.0001796959875454928,2.438,2.5297,2.438,-0.0129999999999999,0.09169999999999989
2015-04-29,6.1169,-0.0039999999999995595,-0.0006537122918247066,2.439,2.5028,2.439,0.0009999999999998899,0.06380000000000008
2015-04-30,6.1137,-0.0032000000000005357,-0.0005232776925121154,2.43,2.4925,2.43,-0.008999999999999897,0.0625
2015-05-04,6.1165,0.00280000000000058,0.00045788295349542476,2.39,2.468,2.39,-0.040000000000000036,0.07799999999999985
