year,quarter,tone_all,tone_real,tone_guid,tone_macro,tone_policy,tone_risk,tone_p90_macro,tone_p90_policy,tone_p90_risk,tone_std_macro,tone_std_policy,tone_std_risk,n_macro,n_policy,n_risk,tone_all_z,tone_real_z,tone_guid_z,tone_policy_z,tone_macro_z,tone_risk_z,tone_p90_policy_z,tone_p90_macro_z,tone_p90_risk_z,tone_std_policy_z,tone_std_macro_z,tone_std_risk_z,tone_all_z_exp,tone_all_z_exp_avail,tone_real_z_exp,tone_real_z_exp_avail,tone_guid_z_exp,tone_guid_z_exp_avail,tone_policy_z_exp,tone_policy_z_exp_avail,tone_macro_z_exp,tone_macro_z_exp_avail,tone_risk_z_exp,tone_risk_z_exp_avail,report_date
2011,1,0.5601934534150399,0.5414145988803951,0.7403982305840355,0.5072660558400689,0.727628105840586,0.3361652581297676,0.9999302409982193,0.9999400053507997,0.9999022151241661,0.48893549276050047,0.422842619100322,0.5141653369216408,408,137,6,-0.6128083382573439,-0.7667446109178786,0.897275751988256,0.9984836524064504,-1.042268603178809,0.682297938078025,0.28502055321167213,-0.46556743314405596,1.1178823944343412,-1.4426040767029513,0.9305960205135253,0.9744934348290964,-0.4312558262313766,1,-0.5583549021221434,1,0.7541725046621018,1,0.7946274289713963,1,-0.9230789358757991,1,1.2131943485647967,1,2011-05-03
2011,2,0.553867719750532,0.5466195175231748,0.6322666418015374,0.5311618631632429,0.6811085630757248,0.19524593956561553,0.999929010042979,0.999938781403398,0.8111715118633586,0.4855631354341997,0.46032649199441533,0.363496433195866,433,128,18,-0.7335208515132262,-0.6713274792307948,-0.38312748591296625,0.34594031372264483,-0.6679344950988346,0.010855421916382444,0.191171735258022,-0.6727134102893226,0.6907336450355075,0.09203582947398163,0.6343285650349735,0.23851851727334733,-0.5337652576276835,1,-0.4651123664164235,1,-0.2931976263213372,1,0.2798863233837674,1,-0.5907250703978315,1,0.12956731845097041,1,2011-08-12
2011,3,0.49847615654607824,0.4866457087969472,0.6346577550805199,0.4483982093638904,0.6689768529770975,0.000543902317682865,0.9999212901297142,0.9999379855609731,0.0013893544673920233,0.4802685635947017,0.45622769927549967,0.0010128000476923122,417,140,6,-1.7905452477658892,-1.7707738294527615,-0.35481393555206175,0.17576524016878364,-1.9644489048202003,-0.9168472317977405,0.13014879363327042,-1.971825615476073,-1.1420229220778992,-0.07577422823717431,0.16919122193582953,-1.532111356738923,-1.4856416282392233,1,-1.4407544830882202,1,-0.26636427141074076,1,0.1447003127095956,1,-1.6698772967621387,1,-1.3371315947633378,1,2011-11-16
2011,4,0.5057719224222099,0.5003647847252017,0.5698164644778848,0.4645904996650257,0.6170816371603419,0.046426946918169655,0.9999255893097143,0.9999339266330936,0.002133738994598489,0.4901798498772444,0.4683397398421368,0.15897605288143798,377,189,12,-1.6513218340493614,-1.5192742452494115,-1.122609908700159,-0.5521842489728329,-1.7107924174844797,-0.6982269089803067,-0.18107829268519846,-1.2483567086510001,-1.1403381780782507,0.42010891733085504,1.03991495709512,-0.7605056099237232,-1.3067971900658646,1,-1.168344899159173,1,-0.8967022100625645,1,-0.4268337563387922,1,-1.3898465395490451,1,-0.9523351746835821,1,2012-02-15
2012,1,0.5338572971890612,0.5172745899518035,0.6784468673104129,0.490218350448565,0.6623859744875775,0.08018901975204548,0.9999209900022834,0.9999390746146674,0.011494833230972206,0.49110506875948623,0.46097231508892816,0.2725107416748324,373,169,12,-1.1153751196213098,-1.2092818663391605,0.1636998652277707,0.08331304483767832,-1.3093253929425104,-0.5373597449506264,0.21365434439787628,-2.0223312617298084,-1.1191514838786003,0.11847669101383192,1.1211970448100606,-0.20592081400248102,-0.7908120654076032,1,-0.8648080348660747,1,0.18562958815614478,1,0.08112001394436183,1,-1.017457704912682,1,-0.6797538265065682,1,2012-05-10
2012,2,0.516055919353196,0.49658828284906575,0.6779446860717527,0.4669007337474945,0.6294716203914796,0.41988471780787223,0.9999161577507039,0.9999407671919471,0.9780128243437504,0.48923627748073223,0.470762516937747,0.5088018573747889,364,162,5,-1.4550746978760005,-1.5885054862279144,0.15775345778815456,-0.3783863020594335,-1.6746019928203901,1.0811985659743302,0.3434363732444659,-2.835505813078377,1.0683407685334612,0.5193006530727825,0.9570204812356762,0.9482943564546316,-1.080016316314739,1,-1.182656544801188,1,0.17855669461082113,1,-0.2888907595424838,1,-1.2921848335363286,1,1.8843246387548482,1,2012-08-02
2012,3,0.5852670815291421,0.5841081863947357,0.5972037014135276,0.5601962474397438,0.6514239437188962,0.0017468432585398357,0.9999275399342877,0.9999413334560814,0.004991859197616577,0.48538781709940587,0.46379412606095105,0.003934030722771179,367,192,6,-0.13433408900485713,0.015918854475748777,-0.7983133063437458,-0.0704545919748034,-0.21310322721967948,-0.9111155429111302,0.38685590219835486,-0.9201042912777548,-1.1338694771766085,0.23400540752585042,0.6189265444533991,-1.5178419723331966,0.1226509693032165,1,0.25709375129758666,1,-0.6319337070509217,1,-0.03680295078790824,1,-0.07335834794546546,1,-1.2650597725106008,1,2012-11-02
2012,4,0.5605182165445349,0.5549848042313716,0.6134672481618728,0.5216342050157274,0.6867019051097043,0.30889396640446243,0.999934945586574,0.9999398167401523,0.9995104845729658,0.48893827416971486,0.45058624784585355,0.46734581601433123,448,156,9,-0.6066109585298115,-0.5179741382437114,-0.6057340781015215,0.42439977115330657,-0.8171877664575429,0.5523575940457683,0.2705584233116284,0.32612386473216937,1.1169958019925417,-0.3067427974977454,0.930840372149743,0.7457933368813995,-0.3043044324884724,1,-0.21959481197540123,1,-0.4586763742398873,1,0.3677193038107259,1,-0.5664863486947147,1,1.0032724855013926,1,2013-02-06
2013,1,0.5820556150776539,0.5706556451773136,0.6621811178057604,0.5743226346529222,0.6871707891329877,0.08009896007890349,0.9999304753000615,0.9999443325734318,0.00022789239883418415,0.4765091388049031,0.45857069567377096,0.2767401844504354,389,148,25,-0.19561776093230027,-0.2306945865718469,-0.028905446200135163,0.4309769455583814,0.008190344758080557,-0.5377888549843343,0.6168197207743478,-0.426138961276523,-1.1446516256300343,0.02015117901663552,-0.16108078330223494,-0.18526118403831426,0.07316531852635666,1,0.040344302826627536,1,0.04230908973538466,1,0.3688501835822574,1,0.12103106646296577,1,-0.6817470427937742,1,2013-05-09
2013,2,0.5267120683684109,0.5089257463037612,0.6635098101303489,0.5159524843533122,0.6045316921202127,0.05107145289366599,0.99992419010523,0.9999426099017,0.0010700821876525879,0.4811630889063218,0.4788489999002082,0.21792116205511286,388,182,21,-1.2517258695064064,-1.3623337713684938,-0.013172190324281125,-0.7282260273320573,-0.9061934153465073,-0.6760970916473101,0.48473013463649745,-1.4838157819248812,-1.1427455218067835,0.8503720845087884,0.24777682609704466,-0.4725754478820075,-0.8988807993539933,1,-0.9854189452999387,1,0.05553491238734835,1,-0.5996724022944898,1,-0.6411711145583633,1,-0.8840118937678375,1,2013-08-02
